-39.750 -41.161 -41.324 -40.699 -40.720
-33.982 -32.877 -39.928 -40.159 -40.361
-40.077 -40.909 -40.916 -40.967 -40.881
-38.494 -39.315 -40.718 -40.755 -40.155
-38.421 -38.193 -40.232 -40.302 -40.232
-39.685 -40.438 -40.675 -40.390 -40.283
-39.080 -39.128 -41.952 -41.600 -40.526
-38.301 -39.538 -41.440 -41.483 -40.555
-34.165 -35.614 -39.474 -39.747 -39.593
-31.561 -38.827 -40.809 -39.429 -39.426
-27.097 -39.589 -40.637 -40.277 -39.848
-39.769 -40.382 -40.457 -40.410 -40.259
-38.421 -38.306 -40.433 -40.102 -40.178
-38.341 -38.013 -40.693 -40.728 -40.043
-31.298 -32.097 -39.883 -39.808 -39.662
-38.668 -39.211 -41.907 -41.988 -42.067
-35.697 -35.697 -42.056 -42.435 -42.486
-37.831 -40.173 -42.019 -42.053 -42.093
-41.141 -39.429 -39.743 -39.737 -39.224
-19.390 -24.602 -39.041 -39.731 -39.411
-41.728 -40.716 -41.503 -41.504 -40.638
-40.408 -40.752 -41.030 -41.183 -41.209
-39.876 -39.037 -40.887 -40.340 -40.325
-40.887 -40.110 -40.320 -40.819 -40.253
-41.773 -41.792 -41.490 -41.504 -40.640
-41.041 -40.026 -41.295 -41.162 -40.452
-39.890 -41.195 -41.475 -41.476 -40.566
-37.871 -38.492 -41.963 -41.084 -40.475
-40.121 -39.962 -40.621 -40.238 -40.203
-39.767 -40.300 -41.455 -41.486 -40.643
-36.601 -38.911 -41.829 -41.091 -40.466
-26.370 -29.012 -36.383 -37.861 -38.170
-40.257 -40.415 -40.679 -40.717 -40.769
-38.571 -39.350 -39.754 -39.773 -39.704
-39.220 -39.184 -39.551 -39.487 -39.454
-40.689 -39.360 -40.833 -40.751 -40.650
-40.534 -40.509 -40.656 -40.212 -40.150
-41.422 -40.247 -41.933 -41.303 -40.638
-35.697 -35.697 -42.056 -42.435 -42.486
-40.622 -40.440 -40.599 -40.888 -40.661
-40.077 -40.909 -40.916 -40.967 -40.881
-39.750 -41.161 -41.324 -40.699 -40.720
-39.743 -38.885 -40.828 -40.485 -40.416
-40.090 -39.832 -41.362 -40.275 -40.217
-41.255 -41.493 -41.308 -40.697 -40.639
-39.031 -40.593 -41.181 -40.812 -40.236
-40.822 -39.928 -40.248 -40.814 -40.786
-41.940 -41.449 -41.356 -41.482 -40.642
-39.923 -39.398 -40.426 -39.951 -39.873
-40.545 -39.535 -41.701 -41.198 -40.489
-40.932 -39.447 -39.439 -40.375 -39.976
-40.578 -40.751 -40.904 -40.777 -40.902
-40.366 -38.839 -40.158 -41.105 -40.285
-39.635 -39.895 -40.189 -40.934 -41.025
-40.366 -40.888 -41.215 -41.235 -40.781
-39.686 -40.208 -40.778 -40.375 -40.248
-35.697 -35.697 -42.056 -42.435 -42.486
-40.077 -40.909 -40.916 -40.967 -40.881
-40.285 -39.282 -39.613 -39.638 -39.610
-41.398 -38.688 -40.495 -40.363 -40.214
-39.750 -41.161 -41.324 -40.699 -40.720
-40.871 -41.223 -41.465 -41.502 -41.544
-41.012 -39.970 -39.717 -40.303 -40.048
-40.342 -40.333 -40.391 -40.469 -40.414
-40.814 -40.427 -40.244 -39.848 -39.802
-40.428 -39.602 -40.048 -39.360 -39.297
-41.016 -40.336 -40.212 -40.311 -40.182
