R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  8.796459    -0.63248    -2.34609     1.90910    -3.30417
  8.814939    -0.67327    -2.02160     1.88868    -3.24241
  8.833419    -0.69212    -1.79461     1.39985    -3.02891
  8.851899    -0.68734    -1.62149     0.75886    -2.97714
  8.870379    -0.65862    -1.02957     0.31240    -2.77388
  8.888859    -0.60702    -0.92829     0.05435    -2.45190
  8.907339    -0.53488    -0.63448    -0.24644    -2.31632
  8.925819    -0.44567    -0.18899    -0.75057    -2.20657
  8.944299    -0.34372     0.22887    -0.88803    -2.04658
  8.962779    -0.23399     0.70217    -1.20548    -1.58242
  8.981259    -0.12167     1.10676    -1.61190    -1.27185
  8.999739    -0.01188     1.59205    -1.73439    -1.09906
  9.018219     0.09069     1.81788    -1.82783    -0.47174
  9.036699     0.18209     2.31262    -1.92619    -0.35127
  9.055179     0.25938     2.24561    -2.10027    -0.37877
  9.073659     0.32080     2.23165    -2.03861     0.10969
  9.092139     0.36590     2.21160    -2.12192     0.69852
  9.110619     0.39554     2.72091    -2.24308     0.67892
  9.129099     0.41184     2.30405    -2.06872     1.57731
  9.147579     0.41800     2.12547    -1.81645     1.67271
  9.166059     0.41807     2.27076    -1.84337     2.03577
  9.184539     0.41660     2.56416    -1.79382     1.42848
  9.203018     0.41836     1.99199    -1.64822     0.97914
  9.221498     0.42790     1.80608    -1.26584     1.24406
  9.239978     0.44924     1.31586    -1.22235     2.36960
  9.258458     0.48551     1.33457    -1.05966     1.67413
  9.276938     0.53865     1.29540    -0.75310     1.93844
  9.295418     0.60928     1.20431    -0.10513     2.00521
  9.313898     0.69649     1.06584     0.01927     1.50692
  9.332378     0.79790     0.90860     0.52114     1.05616
  9.350858     0.90972     0.83727     0.97214     0.84226
  9.369338     1.02693     1.04177     1.42889     0.72414
  9.387818     1.14358     0.98532     2.02232     0.45311
  9.406298     1.25309     0.71847     2.12000     0.35960
  9.424778     1.34870     0.68261     2.02899     0.27113
  9.443258     1.42382     0.34276     2.72092     0.00991
  9.461738     1.47250     0.61055     2.61516    -0.14828
  9.480218     1.48978     0.65691     3.08293    -0.62786
  9.498698     1.47202     0.32510     3.10790    -0.83418
  9.517178     1.41717     0.02885     3.59973    -1.37907
  9.535658     1.32488     0.11675     3.86628    -1.17293
  9.554138     1.19662    -0.12421     3.18796    -1.47144
  9.572618     1.03559    -0.13610     3.24903    -2.05792
  9.591098     0.84655    -0.83439     3.26196    -2.08936
  9.609578     0.63561    -0.73693     3.07720    -2.09768
  9.628057     0.40993    -1.31102     3.05789    -2.15208
  9.646537     0.17725    -1.68204     2.59634    -2.18310
  9.665017    -0.05440    -1.79839     2.61739    -2.28160
  9.683497    -0.27720    -2.27352     2.26535    -2.28280
  9.701977    -0.48389    -2.36990     1.87316    -2.31282
  9.720457    -0.66812    -2.40280     1.66343    -2.07086
  9.738937    -0.82476    -2.50163     1.00080    -2.03539
  9.757417    -0.95009    -2.19604     0.82430    -1.93094
  9.775897    -1.04192    -2.16522     0.45321    -1.49139
  9.794377    -1.09963    -2.07576    -0.00653    -1.06663
  9.812857    -1.12407    -1.83099    -0.22631    -0.97909
  9.831337    -1.11747    -1.62431    -0.30838    -0.87434
  9.849817    -1.08322    -1.57061    -0.29968    -0.89081
  9.868297    -1.02556    -1.27603    -0.67767    -0.76178
  9.886777    -0.94934    -1.22678    -0.85471    -0.23614
  9.905257    -0.85970    -1.00025    -0.73563    -0.16840
  9.923737    -0.76176    -0.49475    -0.93134    -0.35427
  9.942217    -0.66038    -0.38518    -1.27067     0.59862
  9.960697    -0.55987    -0.06004    -0.94643     0.49277
  9.979177    -0.46392     0.25744    -0.98013     1.19327
  9.997657    -0.37538    -2.01630    -2.70288    -1.53160
