R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  1.958875    -0.88503    -0.88269    -0.88269    -0.88269
  1.977355    -0.89676    -0.89101    -0.89101    -0.89101
  1.995835    -0.90818    -0.89934    -0.89934    -0.89934
  2.014315    -0.91904    -0.90767    -0.90767    -0.90767
  2.032795    -0.92912    -0.91599    -0.91599    -0.91599
  2.051275    -0.93822    -0.92432    -0.92432    -0.92432
  2.069755    -0.94618    -0.93265    -0.93265    -0.93265
  2.088235    -0.95293    -0.94098    -0.94098    -0.94098
  2.106715    -0.95846    -0.94930    -0.94930    -0.94930
  2.125195    -0.96290    -0.95763    -0.95763    -0.95763
  2.143675    -0.96647    -0.96596    -0.96596    -0.96596
  2.162155    -0.96953    -0.97429    -0.97429    -0.97429
  2.180635    -0.97256    -0.98261    -0.98261    -0.98261
  2.199115    -0.97615    -0.99094    -0.99094    -0.99094
  2.217595    -0.98095    -0.99927    -0.99927    -0.99927
  2.236075    -0.98764    -1.00759    -1.00759    -1.00759
  2.254555    -0.99685    -1.01592    -1.01592    -1.01592
  2.273035    -1.00910    -1.02425    -1.02425    -1.02425
  2.291515    -1.02471    -1.03258    -1.03258    -1.03258
  2.309995    -1.04371    -1.04090    -1.04090    -1.04090
  2.328475    -1.06575    -1.04923    -1.04923    -1.04923
  2.346955    -1.09004    -1.05756    -1.05756    -1.05756
  2.365434    -1.11530    -1.06589    -1.06589    -1.06589
  2.383914    -1.13971    -1.07421    -1.07421    -1.07421
  2.402394    -1.16096    -1.08254    -1.08254    -1.08254
  2.420874    -1.17624    -1.09087    -1.08992    -1.09087
  2.439354    -1.18242    -1.09919    -1.07205    -1.09919
  2.457834    -1.17607    -1.10752    -1.08193    -1.10752
  2.476314    -1.15374    -1.11585    -1.11505    -1.11585
  2.494794    -1.11208    -1.12418    -1.12238    -1.12418
  2.513274    -1.04811    -1.13250    -1.09267    -1.13250
  2.531754    -0.95939    -1.14083    -1.06353    -1.14083
  2.550234    -0.84433    -1.14916    -0.88108    -1.14916
  2.568714    -0.70228    -1.15748    -0.62615    -1.15748
